Rank_By_Conf,Year,Team,G,MP,FGA,FG%,3P,3P%,2P,2P%,FT,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
8,2022-2023,Atlanta Hawks,82,242.1,92.4,0.483,10.8,0.352,33.9,0.548,18.5,0.818,11.2,44.4,25,7.1,4.9,12.9,18.8,118.4
9,2021-2022,Atlanta Hawks,82,240.3,88.3,0.47,12.9,0.374,28.6,0.531,18.1,0.812,10,44,24.6,7.2,4.2,11.9,18.7,113.9
5,2020-2021,Atlanta Hawks,72,241.7,87.2,0.468,12.4,0.373,28.4,0.526,19.7,0.812,10.6,45.6,24.1,7,4.8,13.2,19.3,113.7
14,2019-2020,Atlanta Hawks,67,243,90.6,0.449,12,0.333,28.6,0.525,18.5,0.79,9.9,43.3,24,7.8,5.1,16.2,23.1,111.8
12,2018-2019,Atlanta Hawks,82,242.1,91.8,0.451,13,0.352,28.4,0.518,17.6,0.752,11.6,46.1,25.8,8.2,5.1,17,23.6,113.3
2,2022-2023,Boston Celtics,82,243.7,88.8,0.475,16,0.377,26.2,0.567,17.5,0.812,9.7,45.3,26.7,6.4,5.2,13.4,18.8,117.9
2,2021-2022,Boston Celtics,82,242.7,87.4,0.466,13.2,0.356,27.5,0.547,17,0.816,10.5,46.1,24.8,7.2,5.8,13.6,18.5,111.8
7,2020-2021,Boston Celtics,72,241.4,88.9,0.466,13.6,0.374,27.9,0.53,16.1,0.775,10.6,44.3,23.5,7.7,5.3,14.1,20.4,112.6
3,2019-2020,Boston Celtics,72,242.1,89.6,0.461,12.6,0.364,28.7,0.522,18.6,0.801,10.7,46.1,23,8.3,5.6,13.8,21.6,113.7
4,2018-2019,Boston Celtics,82,241.2,90.5,0.465,12.6,0.365,29.5,0.527,15.6,0.802,9.8,44.5,26.3,8.6,5.3,12.8,20.4,112.4
6,2022-2023,Brooklyn Nets,82,240.6,85.1,0.487,12.8,0.378,28.7,0.559,17.7,0.8,8.2,40.5,25.5,7.1,6.2,13.7,21.1,113.4
